,topic,model,history,story,sentence,total_sequentiality,contextual_sequentiality,topic_sequentiality,story_type,absolute_sentence_idx,postview_importance,online_importance,Importance_Rater1_PostView,Importance_Rater2_PostView,Importance_Rater3_PostView,Importance_Rater4_PostView,Importance_Rater1_Online,Importance_Rater2_Online,Importance_Rater3_Online,Importance_Rater4_Online,avg_postview_importance,avg_online_importance
1189,A short story about a woman rapidly aging through her entire life,meta-llama/Llama-3.1-8B-Instruct,6,2,11,0.6743706597222222,-10.552734375,-28.18115234375,clairvoyant,29,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1190,A short story titled 'The Record',meta-llama/Llama-3.1-8B-Instruct,8,2,11,0.4448784722222222,-13.5074462890625,-17.5322265625,naive,29,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1191,A short story about a woman rapidly aging through her entire life,meta-llama/Llama-3.1-8B-Instruct,8,2,11,0.5427517361111112,-13.724609375,-18.0234375,clairvoyant,29,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1192,A short story titled 'The Record',Qwen/Qwen2.5-7B-Instruct,2,2,11,0.2318793402777778,-19.6407470703125,-22.533203125,naive,29,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1193,A short story about a woman rapidly aging through her entire life,Qwen/Qwen2.5-7B-Instruct,2,2,11,1.2096354166666667,-4.64794921875,-13.44140625,clairvoyant,29,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1194,A short story titled 'The Record',Qwen/Qwen2.5-7B-Instruct,4,2,11,0.2090928819444444,-75.704833984375,-79.968994140625,naive,29,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1195,A short story about a woman rapidly aging through her entire life,Qwen/Qwen2.5-7B-Instruct,4,2,11,1.0362413194444444,-34.607421875,-43.44921875,clairvoyant,29,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1196,A short story titled 'The Record',Qwen/Qwen2.5-7B-Instruct,6,2,11,0.0011935763888888,-20.546875,-44.4375,naive,29,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1197,A short story about a woman rapidly aging through her entire life,Qwen/Qwen2.5-7B-Instruct,6,2,11,1.0434027777777777,-35.54052734375,-74.173828125,clairvoyant,29,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1198,A short story titled 'The Record',Qwen/Qwen2.5-7B-Instruct,8,2,11,-0.3032769097222222,-51.77880859375,-56.771484375,naive,29,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1199,A short story about a woman rapidly aging through her entire life,Qwen/Qwen2.5-7B-Instruct,8,2,11,0.9450954861111112,-31.04296875,-34.87890625,clairvoyant,29,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1200,A short story titled 'The Record',SakanaAI/TinySwallow-1.5B-Instruct,2,2,12,0.2526339017427884,-30.25762939453125,-51.39198303222656,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1201,A short story about a woman rapidly aging through her entire life,SakanaAI/TinySwallow-1.5B-Instruct,2,2,12,0.6435194749098557,-27.861083984375,-54.6328125,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1202,A short story titled 'The Record',SakanaAI/TinySwallow-1.5B-Instruct,4,2,12,1.3849722055288465,-46.21614074707031,-73.4443359375,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1203,A short story about a woman rapidly aging through her entire life,SakanaAI/TinySwallow-1.5B-Instruct,4,2,12,1.829272930438702,-54.96484375,-82.65234375,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1204,A short story titled 'The Record',SakanaAI/TinySwallow-1.5B-Instruct,6,2,12,1.4468219463641827,-82.84111595153809,-91.843994140625,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1205,A short story about a woman rapidly aging through her entire life,SakanaAI/TinySwallow-1.5B-Instruct,6,2,12,1.9511437049278848,-78.57421875,-108.8212890625,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1206,A short story titled 'The Record',SakanaAI/TinySwallow-1.5B-Instruct,8,2,12,1.4334881122295673,-39.0078125,-36.544921875,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1207,A short story about a woman rapidly aging through her entire life,SakanaAI/TinySwallow-1.5B-Instruct,8,2,12,1.9620314378004808,-11.560546875,-32.099609375,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1208,A short story titled 'The Record',openai-community/gpt2-xl,2,2,12,0.7139593271108774,-14.27294921875,-17.4541015625,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1209,A short story about a woman rapidly aging through her entire life,openai-community/gpt2-xl,2,2,12,0.9447279710036056,-20.14453125,-31.05078125,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1210,A short story titled 'The Record',openai-community/gpt2-xl,4,2,12,1.1876716613769531,-21.9609375,-32.705078125,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1211,A short story about a woman rapidly aging through her entire life,openai-community/gpt2-xl,4,2,12,1.6720267075758717,-4.9990234375,-15.3740234375,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1212,A short story titled 'The Record',openai-community/gpt2-xl,6,2,12,1.3533372145432692,-81.9461669921875,-89.5654296875,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1213,A short story about a woman rapidly aging through her entire life,openai-community/gpt2-xl,6,2,12,1.8533372145432692,-31.05859375,-49.904296875,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1214,A short story titled 'The Record',openai-community/gpt2-xl,8,2,12,1.391158470740685,-19.01171875,-42.5,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1215,A short story about a woman rapidly aging through her entire life,openai-community/gpt2-xl,8,2,12,1.8907142052283656,-37.72802734375,-81.3740234375,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1216,A short story titled 'The Record',allenai/OLMo-2-1124-13B,2,2,12,0.7257825411283053,-55.908203125,-67.49609375,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1217,A short story about a woman rapidly aging through her entire life,allenai/OLMo-2-1124-13B,2,2,12,1.179791964017428,-30.7529296875,-34.0078125,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1218,A short story titled 'The Record',allenai/OLMo-2-1124-13B,4,2,12,1.3127491290752704,-29.546361923217773,-54.701171875,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1219,A short story about a woman rapidly aging through her entire life,allenai/OLMo-2-1124-13B,4,2,12,1.7215282733623798,-29.43505859375,-59.640625,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1220,A short story titled 'The Record',allenai/OLMo-2-1124-13B,6,2,12,1.3834078862116888,-43.19856262207031,-68.6060791015625,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1221,A short story about a woman rapidly aging through her entire life,allenai/OLMo-2-1124-13B,6,2,12,1.8013593233548677,-54.8974609375,-89.2626953125,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1222,A short story titled 'The Record',allenai/OLMo-2-1124-13B,8,2,12,1.4155349731445312,-77.78878784179688,-100.69140625,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1223,A short story about a woman rapidly aging through her entire life,allenai/OLMo-2-1124-13B,8,2,12,1.806878896859976,-78.310546875,-104.4462890625,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1224,A short story titled 'The Record',meta-llama/Llama-3.1-8B-Instruct,2,2,12,0.9999683086688702,-37.859375,-38.04296875,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1225,A short story about a woman rapidly aging through her entire life,meta-llama/Llama-3.1-8B-Instruct,2,2,12,0.9769386878380408,-10.552734375,-28.18115234375,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1226,A short story titled 'The Record',meta-llama/Llama-3.1-8B-Instruct,4,2,12,1.625719510591947,-13.5074462890625,-17.5322265625,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1227,A short story about a woman rapidly aging through her entire life,meta-llama/Llama-3.1-8B-Instruct,4,2,12,1.934985380906325,-13.724609375,-18.0234375,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1228,A short story titled 'The Record',meta-llama/Llama-3.1-8B-Instruct,6,2,12,1.587126951951247,-19.6407470703125,-22.533203125,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1229,A short story about a woman rapidly aging through her entire life,meta-llama/Llama-3.1-8B-Instruct,6,2,12,1.8456106919508717,-3.9931640625,-13.44140625,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1230,A short story titled 'The Record',meta-llama/Llama-3.1-8B-Instruct,8,2,12,1.6259278517503004,-67.18017578125,-79.968994140625,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1231,A short story about a woman rapidly aging through her entire life,meta-llama/Llama-3.1-8B-Instruct,8,2,12,1.9603245074932392,-35.013671875,-43.44921875,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1232,A short story titled 'The Record',Qwen/Qwen2.5-7B-Instruct,2,2,12,0.8947654137244592,-19.630859375,-44.4375,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1233,A short story about a woman rapidly aging through her entire life,Qwen/Qwen2.5-7B-Instruct,2,2,12,0.7929593599759616,-35.7642822265625,-74.173828125,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1234,A short story titled 'The Record',Qwen/Qwen2.5-7B-Instruct,4,2,12,1.846089876615084,-51.33984375,-56.771484375,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1235,A short story about a woman rapidly aging through her entire life,Qwen/Qwen2.5-7B-Instruct,4,2,12,2.133793757512019,-30.744140625,-34.87890625,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1236,A short story titled 'The Record',Qwen/Qwen2.5-7B-Instruct,6,2,12,1.98654658977802,-30.75933265686035,-51.39198303222656,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1237,A short story about a woman rapidly aging through her entire life,Qwen/Qwen2.5-7B-Instruct,6,2,12,2.1554330679086537,-26.634033203125,-54.6328125,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1238,A short story titled 'The Record',Qwen/Qwen2.5-7B-Instruct,8,2,12,1.9426759573129504,-46.822296142578125,-73.4443359375,naive,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1239,A short story about a woman rapidly aging through her entire life,Qwen/Qwen2.5-7B-Instruct,8,2,12,2.1379054142878604,-52.3447265625,-82.65234375,clairvoyant,30,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1240,A short story titled 'The Record',SakanaAI/TinySwallow-1.5B-Instruct,2,2,13,0.8291766826923077,-78.85279083251953,-91.843994140625,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1241,A short story about a woman rapidly aging through her entire life,SakanaAI/TinySwallow-1.5B-Instruct,2,2,13,1.6838942307692308,-76.94140625,-108.8212890625,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1242,A short story titled 'The Record',SakanaAI/TinySwallow-1.5B-Instruct,4,2,13,2.027423565204327,-39.0078125,-36.544921875,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1243,A short story about a woman rapidly aging through her entire life,SakanaAI/TinySwallow-1.5B-Instruct,4,2,13,2.6920541616586537,-11.560546875,-32.099609375,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1244,A short story titled 'The Record',SakanaAI/TinySwallow-1.5B-Instruct,6,2,13,2.120417668269231,-14.27294921875,-17.4541015625,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1245,A short story about a woman rapidly aging through her entire life,SakanaAI/TinySwallow-1.5B-Instruct,6,2,13,2.8094106820913463,-20.14453125,-31.05078125,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1246,A short story titled 'The Record',SakanaAI/TinySwallow-1.5B-Instruct,8,2,13,2.0635047325721154,-21.9609375,-32.705078125,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1247,A short story about a woman rapidly aging through her entire life,SakanaAI/TinySwallow-1.5B-Instruct,8,2,13,2.8049645057091346,-4.0859375,-15.3740234375,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1248,A short story titled 'The Record',openai-community/gpt2-xl,2,2,13,1.1950120192307692,-68.794677734375,-89.5654296875,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1249,A short story about a woman rapidly aging through her entire life,openai-community/gpt2-xl,2,2,13,1.4915865384615383,-33.033203125,-49.904296875,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1250,A short story titled 'The Record',openai-community/gpt2-xl,4,2,13,1.9120342548076923,-17.998046875,-42.5,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1251,A short story about a woman rapidly aging through her entire life,openai-community/gpt2-xl,4,2,13,2.2135854867788463,-36.341796875,-81.3740234375,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1252,A short story titled 'The Record',openai-community/gpt2-xl,6,2,13,2.151179387019231,-53.970703125,-67.49609375,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1253,A short story about a woman rapidly aging through her entire life,openai-community/gpt2-xl,6,2,13,2.410466120793269,-27.9384765625,-34.0078125,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1254,A short story titled 'The Record',openai-community/gpt2-xl,8,2,13,2.140117938701923,-30.708232879638672,-54.701171875,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1255,A short story about a woman rapidly aging through her entire life,openai-community/gpt2-xl,8,2,13,2.3968599759615383,-27.586669921875,-59.640625,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1256,A short story titled 'The Record',allenai/OLMo-2-1124-13B,2,2,13,1.3838641826923077,-44.7073974609375,-68.6060791015625,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1257,A short story about a woman rapidly aging through her entire life,allenai/OLMo-2-1124-13B,2,2,13,2.138897235576923,-52.8603515625,-89.2626953125,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1258,A short story titled 'The Record',allenai/OLMo-2-1124-13B,4,2,13,2.4019399789663463,-75.6953125,-100.69140625,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1259,A short story about a woman rapidly aging through her entire life,allenai/OLMo-2-1124-13B,4,2,13,2.7292574368990383,-76.568359375,-104.4462890625,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1260,A short story titled 'The Record',allenai/OLMo-2-1124-13B,6,2,13,2.3509615384615383,-37.859375,-38.04296875,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1261,A short story about a woman rapidly aging through her entire life,allenai/OLMo-2-1124-13B,6,2,13,2.689471905048077,-10.552734375,-28.18115234375,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1262,A short story titled 'The Record',allenai/OLMo-2-1124-13B,8,2,13,2.398737980769231,-13.5074462890625,-17.5322265625,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1263,A short story about a woman rapidly aging through her entire life,allenai/OLMo-2-1124-13B,8,2,13,2.750140850360577,-13.724609375,-18.0234375,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1264,A short story titled 'The Record',meta-llama/Llama-3.1-8B-Instruct,2,2,13,1.0694110576923077,-19.6407470703125,-22.533203125,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1265,A short story about a woman rapidly aging through her entire life,meta-llama/Llama-3.1-8B-Instruct,2,2,13,1.2370793269230769,-3.9931640625,-13.44140625,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1266,A short story titled 'The Record',meta-llama/Llama-3.1-8B-Instruct,4,2,13,2.0593637319711537,-67.18017578125,-79.968994140625,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1267,A short story about a woman rapidly aging through her entire life,meta-llama/Llama-3.1-8B-Instruct,4,2,13,2.323505108173077,-33.6884765625,-43.44921875,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1268,A short story titled 'The Record',meta-llama/Llama-3.1-8B-Instruct,6,2,13,2.153752253605769,-18.705078125,-44.4375,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1269,A short story about a woman rapidly aging through her entire life,meta-llama/Llama-3.1-8B-Instruct,6,2,13,2.4656888521634617,-36.0838623046875,-74.173828125,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1270,A short story titled 'The Record',meta-llama/Llama-3.1-8B-Instruct,8,2,13,2.1803823617788463,-50.4541015625,-56.771484375,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1271,A short story about a woman rapidly aging through her entire life,meta-llama/Llama-3.1-8B-Instruct,8,2,13,2.5279071514423075,-30.875,-34.87890625,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1272,A short story titled 'The Record',Qwen/Qwen2.5-7B-Instruct,2,2,13,1.1642127403846154,-30.254920959472656,-51.39198303222656,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1273,A short story about a woman rapidly aging through her entire life,Qwen/Qwen2.5-7B-Instruct,2,2,13,2.5335787259615383,-26.287841796875,-54.6328125,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1274,A short story titled 'The Record',Qwen/Qwen2.5-7B-Instruct,4,2,13,2.1502356896033654,-45.676361083984375,-73.4443359375,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1275,A short story about a woman rapidly aging through her entire life,Qwen/Qwen2.5-7B-Instruct,4,2,13,3.5128032977764425,-52.140625,-82.65234375,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1276,A short story titled 'The Record',Qwen/Qwen2.5-7B-Instruct,6,2,13,2.2396568885216346,-78.44062900543213,-91.843994140625,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1277,A short story about a woman rapidly aging through her entire life,Qwen/Qwen2.5-7B-Instruct,6,2,13,3.643122746394231,-76.18359375,-108.8212890625,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1278,A short story titled 'The Record',Qwen/Qwen2.5-7B-Instruct,8,2,13,2.2591787484975963,-39.0078125,-36.544921875,naive,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1279,A short story about a woman rapidly aging through her entire life,Qwen/Qwen2.5-7B-Instruct,8,2,13,3.763916015625,-11.560546875,-32.099609375,clairvoyant,31,6.5,8.0,5.0,7.0,6.0,8.0,,9.0,8.0,7.0,6.5,8.0
1280,A short story titled 'The Record',SakanaAI/TinySwallow-1.5B-Instruct,2,2,14,1.104876066509046,-14.27294921875,-17.4541015625,naive,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1281,A short story about a woman rapidly aging through her entire life,SakanaAI/TinySwallow-1.5B-Instruct,2,2,14,1.2010096499794407,-20.14453125,-31.05078125,clairvoyant,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1282,A short story titled 'The Record',SakanaAI/TinySwallow-1.5B-Instruct,4,2,14,1.2284031918174343,-21.9609375,-32.705078125,naive,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1283,A short story about a woman rapidly aging through her entire life,SakanaAI/TinySwallow-1.5B-Instruct,4,2,14,1.2291934364720394,-4.0859375,-15.3740234375,clairvoyant,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1284,A short story titled 'The Record',SakanaAI/TinySwallow-1.5B-Instruct,6,2,14,1.3145478901110197,-68.794677734375,-89.5654296875,naive,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1285,A short story about a woman rapidly aging through her entire life,SakanaAI/TinySwallow-1.5B-Instruct,6,2,14,1.2541688617907072,-32.169921875,-49.904296875,clairvoyant,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1286,A short story titled 'The Record',SakanaAI/TinySwallow-1.5B-Instruct,8,2,14,1.382189298930921,-17.40234375,-42.5,naive,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1287,A short story about a woman rapidly aging through her entire life,SakanaAI/TinySwallow-1.5B-Instruct,8,2,14,1.3265959087171053,-36.21612548828125,-81.3740234375,clairvoyant,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1288,A short story titled 'The Record',openai-community/gpt2-xl,2,2,14,1.0284011840820313,-52.8984375,-67.49609375,naive,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1289,A short story about a woman rapidly aging through her entire life,openai-community/gpt2-xl,2,2,14,1.1223876953125,-29.123046875,-34.0078125,clairvoyant,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1290,A short story titled 'The Record',openai-community/gpt2-xl,4,2,14,1.1607894897460938,-29.21695327758789,-54.701171875,naive,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1291,A short story about a woman rapidly aging through her entire life,openai-community/gpt2-xl,4,2,14,1.227630615234375,-26.77783203125,-59.640625,clairvoyant,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1292,A short story titled 'The Record',openai-community/gpt2-xl,6,2,14,1.162957763671875,-43.844818115234375,-68.6060791015625,naive,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1293,A short story about a woman rapidly aging through her entire life,openai-community/gpt2-xl,6,2,14,1.247943878173828,-51.95751953125,-89.2626953125,clairvoyant,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1294,A short story titled 'The Record',openai-community/gpt2-xl,8,2,14,1.1577789306640625,-76.49921798706055,-100.69140625,naive,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1295,A short story about a woman rapidly aging through her entire life,openai-community/gpt2-xl,8,2,14,1.257636260986328,-75.26708984375,-104.4462890625,clairvoyant,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1296,A short story titled 'The Record',allenai/OLMo-2-1124-13B,2,2,14,1.6384518271998356,-38.9140625,-38.87109375,naive,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1297,A short story about a woman rapidly aging through her entire life,allenai/OLMo-2-1124-13B,2,2,14,1.5152061863949424,-10.9326171875,-27.6455078125,clairvoyant,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1298,A short story titled 'The Record',allenai/OLMo-2-1124-13B,4,2,14,1.674785814787212,-11.6912841796875,-14.8828125,naive,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1299,A short story about a woman rapidly aging through her entire life,allenai/OLMo-2-1124-13B,4,2,14,1.4708111411646794,-15.90234375,-17.671875,clairvoyant,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1300,A short story titled 'The Record',allenai/OLMo-2-1124-13B,6,2,14,1.7541262978001644,-19.14862060546875,-23.069061279296875,naive,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1301,A short story about a woman rapidly aging through her entire life,allenai/OLMo-2-1124-13B,6,2,14,1.6808897319592928,-3.14501953125,-10.4736328125,clairvoyant,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
1302,A short story titled 'The Record',allenai/OLMo-2-1124-13B,8,2,14,1.7334859747635691,-82.07981872558594,-88.54042053222656,naive,32,7.0,7.333333333333333,5.0,7.0,8.0,8.0,,9.0,7.0,6.0,7.0,7.333333333333333
